"product";"product_variation";"availability";"shop_id";"price";"shop";"href";"redirect_link"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3304";"491.37";"Eurotelshop";"/products/show/28823656";"http://eurotelshop.gr/index.php?route=product/product&product_id=1556"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3304";"491.37";"Eurotelshop";"/products/show/28961863";"http://eurotelshop.gr/index.php?route=product/product&product_id=1561"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 64GB Coral Blue";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4003";"491.50";"JusTech";"/products/show/29760641";"https://www.justech.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=949"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 64GB Midnight Black";"Παράδοση 1 έως 3 ημέρες";"4003";"491.50";"JusTech";"/products/show/28515674";"https://www.justech.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=947"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 64GB Orchid Grey";"Παράδοση 1 έως 3 ημέρες";"4003";"491.50";"JusTech";"/products/show/28515676";"https://www.justech.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=945"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 64GB Arctic Silver";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4003";"491.59";"JusTech";"/products/show/28515675";"https://www.justech.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=946"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4870";"492.00";"I-want";"/products/show/34266739";"http://www.i-want.gr/product.php?productid=7345"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4870";"492.00";"I-want";"/products/show/34266705";"http://www.i-want.gr/product.php?productid=7254"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4870";"492.00";"I-want";"/products/show/34581520";"http://www.i-want.gr/product.php?productid=7253"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64 GB ORCHID GREY EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4033";"492.70";"Phonegallery Store";"/products/show/28755396";"http://www.phonegallerystore.gr/index.php?dispatch=products.view&product_id=2045"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64GB ARCTIC SILVER EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4033";"492.70";"Phonegallery Store";"/products/show/28755395";"http://www.phonegallerystore.gr/index.php?dispatch=products.view&product_id=2046"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 64 GB LTE Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4033";"492.70";"Phonegallery Store";"/products/show/29147118";"http://www.phonegallerystore.gr/index.php?dispatch=products.view&product_id=2139"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 64 GB LTE MIDNIGHT BLACK EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4033";"492.70";"Phonegallery Store";"/products/show/28755397";"http://www.phonegallerystore.gr/index.php?dispatch=products.view&product_id=2044"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4870";"494.77";"I-want";"/products/show/34266703";"http://www.i-want.gr/product.php?productid=7252"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G950 GALAXY S8 64GB ORCHID GRAY EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1521";"498.00";"Kaizer Shop";"/products/show/28954294";"https://www.kaizershop.gr/samsung-g950-galaxy-s8-orchid-gray-eu"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G950 GALAXY S8 64GB ARCTIC SILVER EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1521";"498.00";"Kaizer Shop";"/products/show/28980114";"https://www.kaizershop.gr/samsung-g950-galaxy-s8-64gb-arctic-silver-eu"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G950 GALAXY S8 64GB MIDNIGHT BLACK EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1521";"498.00";"Kaizer Shop";"/products/show/28957310";"https://www.kaizershop.gr/samsung-g950-galaxy-s8-64gb-midnight-black-eu"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F 64GB ORCHID GRAY EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2004";"498.00";"Kaizerstore";"/products/show/28934030";"https://www.kaizerstore.gr/samsung-galaxy-s8-g950f-64gb-orchid-gray-eu"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F 64GB ARCTIC SILVER EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2004";"498.00";"Kaizerstore";"/products/show/28934029";"https://www.kaizerstore.gr/samsung-galaxy-s8-g950f-64gb-arctic-silver-eu"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Pink EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3405";"498.36";"E-Karavasilis";"/products/show/34581423";"http://www.e-karavasilis.gr/index.php?option=com_eshop&app=catalog&task=item&id=4600"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F 64GB CORAL BLUE EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2004";"505.00";"Kaizerstore";"/products/show/29647307";"https://www.kaizerstore.gr/samsung-galaxy-s8-g950f-64gb-coral-blue-eu"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G950 GALAXY S8 64GB CORAL BLUE TIM EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1521";"524.90";"Kaizer Shop";"/products/show/32659048";"https://www.kaizershop.gr/kinito-samsung-g950-galaxy-s8-coral-blue-tim"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950F) LTE 64GB Arctic Silver EU";"Κατόπιν παραγγελίας";"2377";"530.00";"KataNou";"/products/show/28473276";"https://katanou.gr/index.php?route=product/product&product_id=3200"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950F) LTE 64GB Midnight Black EU";"Κατόπιν παραγγελίας";"2377";"530.00";"KataNou";"/products/show/28473278";"https://katanou.gr/index.php?route=product/product&product_id=3198"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950F) LTE 64GB Orchid Gray EU";"Κατόπιν παραγγελίας";"2377";"530.00";"KataNou";"/products/show/28473277";"https://katanou.gr/index.php?route=product/product&product_id=3199"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB Orchid Gray / Violet EU";"Παράδοση 1 έως 3 ημέρες";"4577";"561.33";"OneThing";"/products/show/33407279";"https://www.onething.gr/shop/samsung-galaxy-s8-64gb-orchid-gray-eu/"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB midnight black EU - Πληρωμή και σε εως 12 δόσεις";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2032";"564.00";"Tokinito";"/products/show/29089378";"https://tokinito.gr/mobile-phones-tablets-accessories/mobiles/smartphones/google-android/samsung-g950-galaxy-s8-4g-64gb-midnight-black-eu.html"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB Arctic Silver EU - Πληρωμή και σε εως 12 δόσεις";"Κατόπιν παραγγελίας";"2032";"564.00";"Tokinito";"/products/show/29530479";"https://tokinito.gr/mobile-phones-tablets-accessories/mobiles/smartphones/google-android/samsung-g950-galaxy-s8-4g-64gb-arctic-silver-eu.html"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB Orchid Grey EU - Πληρωμή και σε εως 12 δόσεις";"Κατόπιν παραγγελίας";"2032";"564.00";"Tokinito";"/products/show/29530478";"https://tokinito.gr/mobile-phones-tablets-accessories/mobiles/smartphones/google-android/samsung-g950-galaxy-s8-4g-64gb-orchid-grey-eu.html"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G-950F Galaxy S8 (64GB) Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1153";"564.20";"Mobilephones";"/products/show/31285789";"http://www.mobile-phones.gr/kinita/samsung/samsung-g-950f-galaxy-s8-64gb-midnight-black-eu-detail.html"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G-950F Galaxy S8 (64GB) Orchid Grey EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1153";"564.20";"Mobilephones";"/products/show/31041749";"http://www.mobile-phones.gr/kinita/samsung/samsung-g-950f-galaxy-s8-64gb-orchid-grey-eu-detail.html"
"Samsung Galaxy S8 (64GB)";"SAMSUNG G-950F Galaxy S8 (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1153";"564.20";"Mobilephones";"/products/show/31041747";"http://www.mobile-phones.gr/kinita/samsung/samsung-g-950f-galaxy-s8-64gb-arctic_silver-eu-detail.html"
